_website,created_in,email,firstname,lastname,_address_firstname,_address_lastname,street,city,telephone,region,postcode,country_id,_address_default_billing_,_address_default_shipping_,group_id,created_at,updated_at
base,Default Store View,Kyle.Moss@thelumastory.com,Kyle,Moss,Kyle,Moss,1173 Hoguk Plaza,Usgagir,555-555-5555,OR,47262,US,1,1,3,6/27/16 20:15,6/27/16 20:15
base,Default Store View,Barbara.Russell@thelumastory.com,Barbara,Russell,Barbara,Russell,1123 Jovuf Extension,Numcanek,555-555-5555,AL,16406,US,1,1,3,6/29/16 16:03,6/29/16 16:03
base,Default Store View,Norman.Pierce@thelumastory.com,Norman,Pierce,Norman,Pierce,1564 Vatub Parkway,Ekgiwwo,555-555-5555,IL,30552,US,1,1,3,7/1/16 11:16,7/1/16 11:16
base,Default Store View,Terry.Neal@thelumastory.com,Terry,Neal,Terry,Neal,671 Digwu Turnpike,Uzenoptah,555-555-5555,MI,14489,US,1,1,1,7/1/16 22:16,7/1/16 22:16
base,Default Store View,Gregory.Welch@thelumastory.com,Gregory,Welch,Gregory,Welch,1741 Hanza Highway,Ozzulsa,555-555-5555,ME,87254,US,1,1,1,7/2/16 7:26,7/2/16 7:26
base,Default Store View,John.Cross@thelumastory.com,John,Cross,John,Cross,366 Pusdoj Ridge,Ifwiwag,555-555-5555,KS,14212,US,1,1,2,7/2/16 19:17,7/2/16 19:17
base,Default Store View,Matthew.Cummings@thelumastory.com,Matthew,Cummings,Matthew,Cummings,1550 Nokca Pass,Imapabec,555-555-5555,MN,85747,US,1,1,2,7/6/16 11:02,7/6/16 11:02
base,Default Store View,Lenora.Martin@thelumastory.com,Lenora,Martin,Lenora,Martin,993 Wikdo Ridge,Vojbapgom,555-555-5555,MN,22377,US,1,1,2,7/8/16 9:31,7/8/16 9:31
base,Default Store View,Adeline.Schmidt@thelumastory.com,Adeline,Schmidt,Adeline,Schmidt,1320 Kihan Parkway,Keeniraj,555-555-5555,DC,9108,US,1,1,2,7/8/16 20:08,7/8/16 20:08
base,Default Store View,Tony.Yates@thelumastory.com,Tony,Yates,Tony,Yates,323 Gipod Street,Kipise,555-555-5555,NV,53254,US,1,1,2,7/8/16 22:51,7/8/16 22:51
base,Default Store View,Jorge.Simpson@thelumastory.com,Jorge,Simpson,Jorge,Simpson,1101 Mulpa River,Avwijar,555-555-5555,ND,16966,US,1,1,3,7/10/16 3:22,7/10/16 3:22
base,Default Store View,George.Reid@thelumastory.com,George,Reid,George,Reid,1423 Apomug Grove,Josomwir,555-555-5555,SC,69030,US,1,1,3,7/12/16 1:49,7/12/16 1:49
base,Default Store View,Inez.Barrett@thelumastory.com,Inez,Barrett,Inez,Barrett,1812 Tuce View,Kusomed,555-555-5555,NJ,80241,US,1,1,1,7/13/16 6:03,7/13/16 6:03
base,Default Store View,Logan.Vargas@thelumastory.com,Logan,Vargas,Logan,Vargas,541 Pussed Point,Hialisut,555-555-5555,VT,12788,US,1,1,3,7/13/16 22:33,7/13/16 22:33
base,Default Store View,Allie.Freeman@thelumastory.com,Allie,Freeman,Allie,Freeman,1961 Cakkic Pike,Titusdop,555-555-5555,SC,2653,US,1,1,3,7/16/16 2:51,7/16/16 2:51
base,Default Store View,Clara.Horton@thelumastory.com,Clara,Horton,Clara,Horton,1452 Lahaju Key,Kedtecem,555-555-5555,NC,832,US,1,1,3,7/16/16 10:32,7/16/16 10:32
base,Default Store View,Lura.Bell@thelumastory.com,Lura,Bell,Lura,Bell,683 Woed Parkway,Efcidsod,555-555-5555,LA,9799,US,1,1,3,7/17/16 4:48,7/17/16 4:48
base,Default Store View,Della.Robertson@thelumastory.com,Della,Robertson,Della,Robertson,1440 Ezdaw Center,Semvevaz,555-555-5555,KY,5374,US,1,1,1,7/18/16 3:50,7/18/16 3:50
base,Default Store View,Mollie.James@thelumastory.com,Mollie,James,Mollie,James,347 Wozo Avenue,Hecsokin,555-555-5555,UT,19147,US,1,1,1,7/18/16 5:20,7/18/16 5:20
base,Default Store View,Victoria.Walters@thelumastory.com,Victoria,Walters,Victoria,Walters,1763 Wodini Turnpike,Mimzajo,555-555-5555,NV,11671,US,1,1,3,7/18/16 17:46,7/18/16 17:46
base,Default Store View,Bryan.Hale@thelumastory.com,Bryan,Hale,Bryan,Hale,1791 Detow Center,Wumofut,555-555-5555,CA,55832,US,1,1,3,7/21/16 5:57,7/21/16 5:57
base,Default Store View,Manuel.Barnett@thelumastory.com,Manuel,Barnett,Manuel,Barnett,237 Fubpiz Loop,Mibcadub,555-555-5555,UT,19321,US,1,1,1,7/21/16 8:39,7/21/16 8:39
base,Default Store View,Estella.Lawrence@thelumastory.com,Estella,Lawrence,Estella,Lawrence,1215 Jabus Way,Fumuaz,555-555-5555,IL,96990,US,1,1,3,7/21/16 9:54,7/21/16 9:54
base,Default Store View,Seth.Lambert@thelumastory.com,Seth,Lambert,Seth,Lambert,509 Dobok Avenue,Reikcan,555-555-5555,MI,13111,US,1,1,2,7/22/16 1:18,7/22/16 1:18
base,Default Store View,Jerry.George@thelumastory.com,Jerry,George,Jerry,George,713 Ruztej Boulevard,Ruanji,555-555-5555,OR,6181,US,1,1,1,7/22/16 10:42,7/22/16 10:42
base,Default Store View,Birdie.Mendez@thelumastory.com,Birdie,Mendez,Birdie,Mendez,1230 Ojonu Terrace,Ahbapzeh,555-555-5555,MA,13461,US,1,1,3,7/24/16 1:55,7/24/16 1:55
base,Default Store View,Jose.Page@thelumastory.com,Jose,Page,Jose,Page,1621 Nucaf View,Gilvuak,555-555-5555,WA,25693,US,1,1,1,7/24/16 4:19,7/24/16 4:19
base,Default Store View,Frederick.Warren@thelumastory.com,Frederick,Warren,Frederick,Warren,681 Mohab Drive,Imnuwih,555-555-5555,MS,8641,US,1,1,3,7/24/16 17:05,7/24/16 17:05
base,Default Store View,Alex.Cunningham@thelumastory.com,Alex,Cunningham,Alex,Cunningham,568 Hehsok Drive,Kegatoga,555-555-5555,TN,7900,US,1,1,2,7/25/16 19:23,7/25/16 19:23
base,Default Store View,Estelle.Morrison@thelumastory.com,Estelle,Morrison,Estelle,Morrison,443 Tigo Turnpike,Waljawtuk,555-555-5555,ME,93335,US,1,1,2,7/26/16 18:28,7/26/16 18:28
base,Default Store View,Jordan.Larson@thelumastory.com,Jordan,Larson,Jordan,Larson,1942 Zijpez Trail,Gusowko,555-555-5555,CO,80597,US,1,1,1,7/27/16 17:37,7/27/16 17:37
base,Default Store View,Darrell.Hammond@thelumastory.com,Darrell,Hammond,Darrell,Hammond,332 Zitol Glen,Lupjavof,555-555-5555,SC,29959,US,1,1,1,7/31/16 20:51,7/31/16 20:51
base,Default Store View,Lydia.Carter@thelumastory.com,Lydia,Carter,Lydia,Carter,804 Zanlun Glen,Pozabpin,555-555-5555,ME,51143,US,1,1,3,8/1/16 11:24,8/1/16 11:24
base,Default Store View,Katie.Kelley@thelumastory.com,Katie,Kelley,Katie,Kelley,1516 Mohdo Pike,Ewlazer,555-555-5555,TX,8784,US,1,1,3,8/2/16 13:54,8/2/16 13:54
base,Default Store View,Frank.Owens@thelumastory.com,Frank,Owens,Frank,Owens,19 Gozo Trail,Timgolril,555-555-5555,MT,46336,US,1,1,3,8/3/16 11:26,8/3/16 11:26
base,Default Store View,Florence.Lopez@thelumastory.com,Florence,Lopez,Florence,Lopez,1627 Toeja Court,Puzoklen,555-555-5555,MI,73746,US,1,1,2,8/3/16 21:01,8/3/16 21:01
base,Default Store View,Effie.May@thelumastory.com,Effie,May,Effie,May,1913 Itza Place,Cajfeljug,555-555-5555,UT,58799,US,1,1,3,8/4/16 5:54,8/4/16 5:54
base,Default Store View,Winifred.Estrada@thelumastory.com,Winifred,Estrada,Winifred,Estrada,1501 Fiaz Path,Potopnog,555-555-5555,MT,71029,US,1,1,3,8/6/16 17:12,8/6/16 17:12
base,Default Store View,Eugene.Armstrong@thelumastory.com,Eugene,Armstrong,Eugene,Armstrong,221 Tuef Terrace,Jallivide,555-555-5555,MS,36327,US,1,1,3,8/7/16 17:49,8/7/16 17:49
base,Default Store View,Philip.Santiago@thelumastory.com,Philip,Santiago,Philip,Santiago,1134 Wodet Avenue,Pammucnu,555-555-5555,TX,97091,US,1,1,3,8/7/16 19:02,8/7/16 19:02
base,Default Store View,Marie.Lewis@thelumastory.com,Marie,Lewis,Marie,Lewis,1658 Etoli Pass,Ceewpuj,555-555-5555,MS,27572,US,1,1,1,8/7/16 19:36,8/7/16 19:36
base,Default Store View,Zachary.Simon@thelumastory.com,Zachary,Simon,Zachary,Simon,1278 Edwi Loop,Ganekaz,555-555-5555,MT,28382,US,1,1,3,8/7/16 21:46,8/7/16 21:46
base,Default Store View,Austin.Goodwin@thelumastory.com,Austin,Goodwin,Austin,Goodwin,1055 Vorkom View,Sivvownu,555-555-5555,GA,45275,US,1,1,2,8/7/16 22:19,8/7/16 22:19
base,Default Store View,Olga.Harrington@thelumastory.com,Olga,Harrington,Olga,Harrington,389 Hebda Manor,Dunsohsar,555-555-5555,AZ,52196,US,1,1,3,8/8/16 11:12,8/8/16 11:12
base,Default Store View,Travis.Wallace@thelumastory.com,Travis,Wallace,Travis,Wallace,1297 Dabvor Glen,Cewevad,555-555-5555,HI,83156,US,1,1,3,8/9/16 0:27,8/9/16 0:27
base,Default Store View,Alta.Evans@thelumastory.com,Alta,Evans,Alta,Evans,227 Eloseg Heights,Ilamedu,555-555-5555,NH,99759,US,1,1,3,8/9/16 5:45,8/9/16 5:45
base,Default Store View,Ronnie.Reid@thelumastory.com,Ronnie,Reid,Ronnie,Reid,1849 Paggit Heights,Mogaoho,555-555-5555,OR,23437,US,1,1,2,8/10/16 2:38,8/10/16 2:38
base,Default Store View,Millie.Phillips@thelumastory.com,Millie,Phillips,Millie,Phillips,1108 Hatosa Pike,Gorhirgik,555-555-5555,MD,7724,US,1,1,3,8/10/16 8:56,8/10/16 8:56
base,Default Store View,Sean.Wilkerson@thelumastory.com,Sean,Wilkerson,Sean,Wilkerson,1043 Apita Place,Zaicufif,555-555-5555,WA,83010,US,1,1,1,8/10/16 9:52,8/10/16 9:52
base,Default Store View,Leroy.Fuller@thelumastory.com,Leroy,Fuller,Leroy,Fuller,1899 Inpur Extension,Sofralaj,555-555-5555,CA,53799,US,1,1,3,8/10/16 23:50,8/10/16 23:50
base,Default Store View,Jonathan.Wong@thelumastory.com,Jonathan,Wong,Jonathan,Wong,1139 Rize Highway,Bukerune,555-555-5555,AR,14360,US,1,1,3,8/11/16 6:00,8/11/16 6:00
base,Default Store View,Jared.Adams@thelumastory.com,Jared,Adams,Jared,Adams,1575 Ziov Pass,Beiboni,555-555-5555,PA,70700,US,1,1,1,8/11/16 16:16,8/11/16 16:16
base,Default Store View,Lillian.Bryan@thelumastory.com,Lillian,Bryan,Lillian,Bryan,107 Zoogi Heights,Kiitemiw,555-555-5555,PA,49599,US,1,1,3,8/11/16 23:58,8/11/16 23:58
base,Default Store View,Ricardo.Rios@thelumastory.com,Ricardo,Rios,Ricardo,Rios,1750 Irozi Park,Jeivope,555-555-5555,VA,89817,US,1,1,2,8/12/16 2:12,8/12/16 2:12
base,Default Store View,Arthur.Rhodes@thelumastory.com,Arthur,Rhodes,Arthur,Rhodes,531 Woela River,Kuosimat,555-555-5555,SD,35035,US,1,1,2,8/12/16 10:38,8/12/16 10:38
base,Default Store View,Matilda.Larson@thelumastory.com,Matilda,Larson,Matilda,Larson,190 Zopzo River,Ciwohgak,555-555-5555,FL,60376,US,1,1,3,8/13/16 18:44,8/13/16 18:44
base,Default Store View,Mattie.Price@thelumastory.com,Mattie,Price,Mattie,Price,1500 Huligu Junction,Siziula,555-555-5555,KS,97221,US,1,1,2,8/14/16 6:10,8/14/16 6:10
base,Default Store View,Hunter.Adams@thelumastory.com,Hunter,Adams,Hunter,Adams,1378 Modus Street,Rawgifi,555-555-5555,NC,14560,US,1,1,3,8/16/16 0:49,8/16/16 0:49
base,Default Store View,Hilda.White@thelumastory.com,Hilda,White,Hilda,White,477 Ejten Center,Degaci,555-555-5555,OR,37371,US,1,1,1,8/16/16 12:26,8/16/16 12:26
base,Default Store View,Jeffrey.Bishop@thelumastory.com,Jeffrey,Bishop,Jeffrey,Bishop,311 Hizda Highway,Kolvazoh,555-555-5555,AZ,31146,US,1,1,3,8/16/16 22:21,8/16/16 22:21
base,Default Store View,Arthur.Brock@thelumastory.com,Arthur,Brock,Arthur,Brock,262 Kiowi Grove,Nofodho,555-555-5555,CO,65460,US,1,1,3,8/16/16 23:29,8/16/16 23:29
base,Default Store View,Betty.Berry@thelumastory.com,Betty,Berry,Betty,Berry,1693 Lojge Plaza,Luefeja,555-555-5555,AZ,70832,US,1,1,1,8/17/16 14:01,8/17/16 14:01
base,Default Store View,Andrew.Maxwell@thelumastory.com,Andrew,Maxwell,Andrew,Maxwell,1279 Beco Heights,Gerbiffeg,555-555-5555,AR,57539,US,1,1,3,8/18/16 3:13,8/18/16 3:13
base,Default Store View,Adele.Conner@thelumastory.com,Adele,Conner,Adele,Conner,1434 Diba Extension,Ruljiju,555-555-5555,NV,41437,US,1,1,3,8/18/16 18:33,8/18/16 18:33
base,Default Store View,Elsie.Reese@thelumastory.com,Elsie,Reese,Elsie,Reese,711 Bimig Way,Dosurji,555-555-5555,LA,94132,US,1,1,1,8/18/16 19:58,8/18/16 19:58
base,Default Store View,Cecilia.Sutton@thelumastory.com,Cecilia,Sutton,Cecilia,Sutton,725 Muzum Highway,Ujadawwih,555-555-5555,WV,42803,US,1,1,3,8/19/16 4:33,8/19/16 4:33
base,Default Store View,Addie.Parks@thelumastory.com,Addie,Parks,Addie,Parks,1937 Wakiju Avenue,Otjubhi,555-555-5555,NY,19479,US,1,1,2,8/19/16 13:24,8/19/16 13:24
base,Default Store View,Patrick.Mack@thelumastory.com,Patrick,Mack,Patrick,Mack,1261 Fabgez Road,Nafupi,555-555-5555,IL,82797,US,1,1,3,8/20/16 19:18,8/20/16 19:18
base,Default Store View,Ronnie.Weaver@thelumastory.com,Ronnie,Weaver,Ronnie,Weaver,94 Opla Center,Ibtuzas,555-555-5555,HI,64819,US,1,1,2,8/20/16 22:08,8/20/16 22:08
base,Default Store View,Adrian.Walker@thelumastory.com,Adrian,Walker,Adrian,Walker,722 Giwu Street,Lokilegi,555-555-5555,DC,30660,US,1,1,2,8/21/16 8:18,8/21/16 8:18
base,Default Store View,William.Hines@thelumastory.com,William,Hines,William,Hines,933 Ocowuf Square,Uceikme,555-555-5555,CA,14711,US,1,1,1,8/21/16 19:47,8/21/16 19:47
base,Default Store View,Hallie.Pierce@thelumastory.com,Hallie,Pierce,Hallie,Pierce,552 Hajze Terrace,Loapma,555-555-5555,CA,80631,US,1,1,2,8/22/16 5:02,8/22/16 5:02
base,Default Store View,Alvin.Rogers@thelumastory.com,Alvin,Rogers,Alvin,Rogers,343 Ruvje Terrace,Jasadoj,555-555-5555,ND,38244,US,1,1,3,8/23/16 13:45,8/23/16 13:45
base,Default Store View,Ray.Phillips@thelumastory.com,Ray,Phillips,Ray,Phillips,1767 Zezoc Loop,Pugunceb,555-555-5555,CA,3210,US,1,1,2,8/24/16 3:52,8/24/16 3:52
base,Default Store View,Harriet.Gardner@thelumastory.com,Harriet,Gardner,Harriet,Gardner,300 Nacis Parkway,Mobulizif,555-555-5555,KY,58548,US,1,1,3,8/24/16 9:19,8/24/16 9:19
base,Default Store View,Troy.Abbott@thelumastory.com,Troy,Abbott,Troy,Abbott,829 Pubsi Manor,Ohlelco,555-555-5555,KS,79947,US,1,1,1,8/24/16 19:25,8/24/16 19:25
base,Default Store View,Ora.Bryant@thelumastory.com,Ora,Bryant,Ora,Bryant,1274 Fuot Road,Nemlekej,555-555-5555,MT,30323,US,1,1,2,8/25/16 1:42,8/25/16 1:42
base,Default Store View,Travis.Glover@thelumastory.com,Travis,Glover,Travis,Glover,222 Ajgu Ridge,Cakiboaja,555-555-5555,VA,30546,US,1,1,3,8/25/16 8:32,8/25/16 8:32
base,Default Store View,Brandon.Park@thelumastory.com,Brandon,Park,Brandon,Park,1349 Resu Lane,Tikratu,555-555-5555,AL,75355,US,1,1,2,8/26/16 20:23,8/26/16 20:23
base,Default Store View,Nicholas.Curry@thelumastory.com,Nicholas,Curry,Nicholas,Curry,327 Bolvuh Pass,Adfaef,555-555-5555,WY,46729,US,1,1,1,8/27/16 8:45,8/27/16 8:45
base,Default Store View,Christina.Carpenter@thelumastory.com,Christina,Carpenter,Christina,Carpenter,522 Puser Pass,Weolabe,555-555-5555,KS,52833,US,1,1,3,8/27/16 14:51,8/27/16 14:51
base,Default Store View,Dean.Goodman@thelumastory.com,Dean,Goodman,Dean,Goodman,1524 Ampan Pass,Gibepugu,555-555-5555,UT,62288,US,1,1,3,8/27/16 20:48,8/27/16 20:48
base,Default Store View,Paul.Perry@thelumastory.com,Paul,Perry,Paul,Perry,830 Guldaf Street,Sosubzub,555-555-5555,FL,62131,US,1,1,3,8/31/16 2:16,8/31/16 2:16
base,Default Store View,Mable.Terry@thelumastory.com,Mable,Terry,Mable,Terry,1127 Oluza Grove,Sasowiro,555-555-5555,PA,30535,US,1,1,3,9/1/16 13:27,9/1/16 13:27
base,Default Store View,Katie.Floyd@thelumastory.com,Katie,Floyd,Katie,Floyd,491 Dufne Place,Dopoke,555-555-5555,WY,56719,US,1,1,3,9/3/16 10:01,9/3/16 10:01
base,Default Store View,Allie.Abbott@thelumastory.com,Allie,Abbott,Allie,Abbott,179 Jopwe Highway,Tagwihos,555-555-5555,MT,54134,US,1,1,2,9/3/16 14:03,9/3/16 14:03
base,Default Store View,Dean.Gonzalez@thelumastory.com,Dean,Gonzalez,Dean,Gonzalez,269 Gerogo Loop,Lopeplal,555-555-5555,MS,22095,US,1,1,2,9/3/16 17:05,9/3/16 17:05
base,Default Store View,Blanche.Hawkins@thelumastory.com,Blanche,Hawkins,Blanche,Hawkins,1656 Vakab View,Fefuboka,555-555-5555,KY,57868,US,1,1,3,9/3/16 20:55,9/3/16 20:55
base,Default Store View,Trevor.Leonard@thelumastory.com,Trevor,Leonard,Trevor,Leonard,285 Jutno River,Diswowa,555-555-5555,AZ,66900,US,1,1,2,9/5/16 5:43,9/5/16 5:43
base,Default Store View,Ralph.Bryan@thelumastory.com,Ralph,Bryan,Ralph,Bryan,331 Dikil Trail,Opegcon,555-555-5555,CT,19917,US,1,1,3,9/5/16 7:49,9/5/16 7:49
base,Default Store View,Dustin.Patton@thelumastory.com,Dustin,Patton,Dustin,Patton,1495 Madku Pike,Jukali,555-555-5555,OK,82210,US,1,1,2,9/6/16 16:42,9/6/16 16:42
base,Default Store View,Jesus.Castro@thelumastory.com,Jesus,Castro,Jesus,Castro,499 Zizec Center,Indaaru,555-555-5555,OK,32411,US,1,1,1,9/6/16 21:46,9/6/16 21:46
base,Default Store View,Franklin.Becker@thelumastory.com,Franklin,Becker,Franklin,Becker,783 Jesuku Junction,Arefeptag,555-555-5555,CT,28871,US,1,1,3,9/7/16 1:08,9/7/16 1:08
base,Default Store View,Jeff.Copeland@thelumastory.com,Jeff,Copeland,Jeff,Copeland,762 Aretup Trail,Diopran,555-555-5555,UT,36938,US,1,1,3,9/9/16 14:09,9/9/16 14:09
base,Default Store View,Irene.Medina@thelumastory.com,Irene,Medina,Irene,Medina,905 Zike Lane,Capedaw,555-555-5555,UT,24833,US,1,1,1,9/11/16 18:23,9/11/16 18:23
base,Default Store View,Lura.Jensen@thelumastory.com,Lura,Jensen,Lura,Jensen,780 Dumu View,Fuvinik,555-555-5555,VA,27508,US,1,1,3,9/11/16 22:33,9/11/16 22:33
base,Default Store View,Jeff.Thomas@thelumastory.com,Jeff,Thomas,Jeff,Thomas,1235 Vier Path,Gugecad,555-555-5555,KY,65904,US,1,1,1,9/12/16 19:56,9/12/16 19:56
base,Default Store View,Christian.Hudson@thelumastory.com,Christian,Hudson,Christian,Hudson,1906 Isni Loop,Meceru,555-555-5555,SC,70897,US,1,1,3,9/13/16 12:46,9/13/16 12:46
base,Default Store View,Maud.Burns@thelumastory.com,Maud,Burns,Maud,Burns,232 Kizvi Center,Wuhwajoh,555-555-5555,MA,9225,US,1,1,3,9/13/16 13:52,9/13/16 13:52
base,Default Store View,Hunter.Reynolds@thelumastory.com,Hunter,Reynolds,Hunter,Reynolds,1421 Tefu Circle,Repibew,555-555-5555,MT,89454,US,1,1,1,9/14/16 0:13,9/14/16 0:13
base,Default Store View,Milton.Bryan@thelumastory.com,Milton,Bryan,Milton,Bryan,1284 Cicga Street,Riruop,555-555-5555,SC,60515,US,1,1,3,9/15/16 7:29,9/15/16 7:29
base,Default Store View,Della.Underwood@thelumastory.com,Della,Underwood,Della,Underwood,1340 Resob Plaza,Ruhosrek,555-555-5555,VT,56381,US,1,1,3,9/15/16 20:21,9/15/16 20:21
base,Default Store View,Genevieve.Carter@thelumastory.com,Genevieve,Carter,Genevieve,Carter,1316 Aggo Highway,Rubliva,555-555-5555,HI,60625,US,1,1,3,9/15/16 23:13,9/15/16 23:13
base,Default Store View,Carrie.Roberts@thelumastory.com,Carrie,Roberts,Carrie,Roberts,673 Wiroz Manor,Dinhevo,555-555-5555,WA,52677,US,1,1,3,9/16/16 8:35,9/16/16 8:35
base,Default Store View,Anthony.Wallace@thelumastory.com,Anthony,Wallace,Anthony,Wallace,1463 Ileli Mill,Rimvudil,555-555-5555,ID,33076,US,1,1,3,9/16/16 20:48,9/16/16 20:48
base,Default Store View,Birdie.Duncan@thelumastory.com,Birdie,Duncan,Birdie,Duncan,114 Fiuf Avenue,Pofgizde,555-555-5555,MS,52982,US,1,1,3,9/16/16 22:41,9/16/16 22:41
base,Default Store View,Lora.Stokes@thelumastory.com,Lora,Stokes,Lora,Stokes,409 Owfis Grove,Livizuto,555-555-5555,KY,65807,US,1,1,1,9/18/16 15:53,9/18/16 15:53
base,Default Store View,Theresa.Walker@thelumastory.com,Theresa,Walker,Theresa,Walker,1211 Fukuca Place,Lugtuhjo,555-555-5555,SD,87313,US,1,1,3,9/18/16 16:24,9/18/16 16:24
base,Default Store View,Lula.Robinson@thelumastory.com,Lula,Robinson,Lula,Robinson,729 Dabwi Avenue,Sedvehce,555-555-5555,OK,1834,US,1,1,3,9/19/16 3:51,9/19/16 3:51
base,Default Store View,Lawrence.Newman@thelumastory.com,Lawrence,Newman,Lawrence,Newman,817 Liljo Key,Lasjamit,555-555-5555,DE,42771,US,1,1,3,9/19/16 8:31,9/19/16 8:31
base,Default Store View,Stanley.Berry@thelumastory.com,Stanley,Berry,Stanley,Berry,960 Bozih Pike,Decada,555-555-5555,DE,41879,US,1,1,3,9/19/16 13:30,9/19/16 13:30
base,Default Store View,Mittie.Stevenson@thelumastory.com,Mittie,Stevenson,Mittie,Stevenson,1597 Ubonuz View,Bofgiwup,555-555-5555,VT,69696,US,1,1,1,9/19/16 23:49,9/19/16 23:49
base,Default Store View,Lester.Dixon@thelumastory.com,Lester,Dixon,Lester,Dixon,1200 Nezho Key,Dazipge,555-555-5555,DE,95553,US,1,1,2,9/20/16 0:06,9/20/16 0:06
base,Default Store View,Inez.Newton@thelumastory.com,Inez,Newton,Inez,Newton,1366 Kenuwu Extension,Nuwfamu,555-555-5555,NC,18681,US,1,1,3,9/20/16 17:29,9/20/16 17:29
base,Default Store View,Georgia.Coleman@thelumastory.com,Georgia,Coleman,Georgia,Coleman,408 Rejik Point,Halabves,555-555-5555,NJ,80872,US,1,1,1,9/21/16 1:11,9/21/16 1:11
base,Default Store View,Marie.Alvarado@thelumastory.com,Marie,Alvarado,Marie,Alvarado,143 Takne Circle,Biwpetnen,555-555-5555,NE,11158,US,1,1,1,9/21/16 8:37,9/21/16 8:37
base,Default Store View,Dean.Fernandez@thelumastory.com,Dean,Fernandez,Dean,Fernandez,1909 Waftos Pass,Rumkuta,555-555-5555,KS,23112,US,1,1,1,9/21/16 10:28,9/21/16 10:28
base,Default Store View,Mittie.McCarthy@thelumastory.com,Mittie,McCarthy,Mittie,McCarthy,893 Woklok River,Vozipom,555-555-5555,NY,3229,US,1,1,2,9/21/16 13:57,9/21/16 13:57
base,Default Store View,Louis.Byrd@thelumastory.com,Louis,Byrd,Louis,Byrd,1121 Nifzin Lane,Javfeza,555-555-5555,AL,74310,US,1,1,3,9/22/16 3:18,9/22/16 3:18
base,Default Store View,Jay.Griffith@thelumastory.com,Jay,Griffith,Jay,Griffith,277 Linbe Highway,Siharvo,555-555-5555,GA,2423,US,1,1,1,9/22/16 18:55,9/22/16 18:55
base,Default Store View,Jon.Norton@thelumastory.com,Jon,Norton,Jon,Norton,934 Anbol Lane,Kifoguv,555-555-5555,CT,50370,US,1,1,3,9/23/16 3:31,9/23/16 3:31
base,Default Store View,Polly.Harvey@thelumastory.com,Polly,Harvey,Polly,Harvey,1285 Famlov Square,Ulmiloj,555-555-5555,AZ,65359,US,1,1,1,9/23/16 9:44,9/23/16 9:44
base,Default Store View,Lela.Moran@thelumastory.com,Lela,Moran,Lela,Moran,1530 Tenup Center,Cuziah,555-555-5555,PA,8082,US,1,1,1,9/23/16 21:37,9/23/16 21:37
base,Default Store View,Ann.Farmer@thelumastory.com,Ann,Farmer,Ann,Farmer,1230 Sopzor Square,Lobbuznin,555-555-5555,NM,38029,US,1,1,1,9/24/16 21:19,9/24/16 21:19
base,Default Store View,Minerva.Sanders@thelumastory.com,Minerva,Sanders,Minerva,Sanders,1511 Hige Pass,Jodusafu,555-555-5555,MD,62192,US,1,1,2,9/25/16 2:03,9/25/16 2:03
base,Default Store View,Bill.Carr@thelumastory.com,Bill,Carr,Bill,Carr,44 Bilom Path,Udjevu,555-555-5555,CO,14196,US,1,1,1,9/25/16 13:02,9/25/16 13:02
base,Default Store View,Birdie.Thompson@thelumastory.com,Birdie,Thompson,Birdie,Thompson,515 Bertog Path,Hevkanpuc,555-555-5555,NY,89346,US,1,1,2,9/26/16 8:57,9/26/16 8:57
base,Default Store View,Mamie.Drake@thelumastory.com,Mamie,Drake,Mamie,Drake,846 Hogif Avenue,Cijuzje,555-555-5555,UT,94756,US,1,1,3,9/26/16 14:34,9/26/16 14:34
base,Default Store View,Abbie.Caldwell@thelumastory.com,Abbie,Caldwell,Abbie,Caldwell,407 Wico Drive,Isbuhnam,555-555-5555,KY,78849,US,1,1,2,9/27/16 1:27,9/27/16 1:27
base,Default Store View,Estelle.Hodges@thelumastory.com,Estelle,Hodges,Estelle,Hodges,744 Picbi Junction,Aclava,555-555-5555,NE,64502,US,1,1,1,9/27/16 8:15,9/27/16 8:15
base,Default Store View,Lois.Jefferson@thelumastory.com,Lois,Jefferson,Lois,Jefferson,1595 Hikzuj Trail,Ihafoav,555-555-5555,NV,39452,US,1,1,2,9/28/16 4:13,9/28/16 4:13
base,Default Store View,Barbara.Wright@thelumastory.com,Barbara,Wright,Barbara,Wright,1352 Mita Turnpike,Rufcosik,555-555-5555,HI,55679,US,1,1,3,9/28/16 4:30,9/28/16 4:30
base,Default Store View,Julia.Peterson@thelumastory.com,Julia,Peterson,Julia,Peterson,366 Uhefa Glen,Buwilta,555-555-5555,VA,22566,US,1,1,3,9/28/16 6:30,9/28/16 6:30
base,Default Store View,Troy.Shelton@thelumastory.com,Troy,Shelton,Troy,Shelton,31 Biuc Grove,Hiwimem,555-555-5555,CA,93120,US,1,1,3,9/28/16 12:19,9/28/16 12:19
base,Default Store View,Lillie.Lawrence@thelumastory.com,Lillie,Lawrence,Lillie,Lawrence,1508 Uguuki Lane,Erijafa,555-555-5555,KS,15952,US,1,1,3,9/28/16 14:41,9/28/16 14:41
base,Default Store View,Jordan.Larson@the1umastory.com,Jordan,Larson,Jordan,Larson,1006 Irehe Trail,Coknuzov,555-555-5555,ME,73349,US,1,1,1,9/28/16 21:50,9/28/16 21:50
